,Metric,Value,Method,Algorithm,mv,sigma,diff_mu_12_mu_11,diff_mu_13_mu_23,Neighbors,Repetition
10317,F1 Macro,0.30682539682539683,Listwise Deletion,SVC,0.7689002151667904,0.04177121665527296,0.020853095447603498,0.0416025099093455,,8.0
10318,F1 Macro,0.3253734827264239,Listwise Deletion,RF,0.7689002151667904,0.04177121665527296,0.020853095447603498,0.0416025099093455,,8.0
10319,F1 Macro,0.2754600505900902,Listwise Deletion,Ridge,0.7689002151667904,0.04177121665527296,0.020853095447603498,0.0416025099093455,,8.0
10320,F1 Macro,1.0,"ACF, correlation-only",ACF+SVC,0.7621063672324572,0.04093888910427798,0.018719279709294434,0.04200880950888514,,8.0
10321,F1 Macro,0.9919862162920223,"ACF, correlation-only",ACF+RF,0.7621063672324572,0.04093888910427798,0.018719279709294434,0.04200880950888514,,8.0
10322,F1 Macro,0.9841269841269842,"ACF, correlation-only",ACF+Ridge,0.7621063672324572,0.04093888910427798,0.018719279709294434,0.04200880950888514,,8.0
10323,F1 Macro,1.0,"ACF, with covariable",ACF+SVC,0.7621063672324572,0.04093888910427798,0.018719279709294434,0.04200880950888514,,8.0
10324,F1 Macro,1.0,"ACF, with covariable",ACF+RF,0.7621063672324572,0.04093888910427798,0.018719279709294434,0.04200880950888514,,8.0
10325,F1 Macro,0.9838109114456856,"ACF, with covariable",ACF+Ridge,0.7621063672324572,0.04093888910427798,0.018719279709294434,0.04200880950888514,,8.0
10326,F1 Macro,0.896049896049896,KNN,KNN,0.7621063672324572,0.04093888910427798,0.018719279709294434,0.04200880950888514,4.2,8.0
10327,F1 Macro,0.9682539682539683,KNN,KNN+ROs,0.7621063672324572,0.04093888910427798,0.018719279709294434,0.04200880950888514,62.1,8.0
10328,F1 Macro,1.0,DBC,DBC,0.7621063672324572,0.04093888910427798,0.018719279709294434,0.04200880950888514,,8.0
10329,F1 Macro,0.37288058856819467,Listwise Deletion,SVC,0.7621063672324572,0.04093888910427798,0.018719279709294434,0.04200880950888514,,8.0
10330,F1 Macro,0.29299136545327814,Listwise Deletion,RF,0.7621063672324572,0.04093888910427798,0.018719279709294434,0.04200880950888514,,8.0
10331,F1 Macro,0.36149732620320857,Listwise Deletion,Ridge,0.7621063672324572,0.04093888910427798,0.018719279709294434,0.04200880950888514,,8.0
10332,F1 Macro,1.0,"ACF, correlation-only",ACF+SVC,0.7549965956996906,0.03947170615172169,0.023810691874741746,0.04000806524479235,,8.0
10333,F1 Macro,1.0,"ACF, correlation-only",ACF+RF,0.7549965956996906,0.03947170615172169,0.023810691874741746,0.04000806524479235,,8.0
10334,F1 Macro,1.0,"ACF, correlation-only",ACF+Ridge,0.7549965956996906,0.03947170615172169,0.023810691874741746,0.04000806524479235,,8.0
10335,F1 Macro,1.0,"ACF, with covariable",ACF+SVC,0.7549965956996906,0.03947170615172169,0.023810691874741746,0.04000806524479235,,8.0
10336,F1 Macro,1.0,"ACF, with covariable",ACF+RF,0.7549965956996906,0.03947170615172169,0.023810691874741746,0.04000806524479235,,8.0
10337,F1 Macro,1.0,"ACF, with covariable",ACF+Ridge,0.7549965956996906,0.03947170615172169,0.023810691874741746,0.04000806524479235,,8.0
10338,F1 Macro,0.8609372827145042,KNN,KNN,0.7549965956996906,0.03947170615172169,0.023810691874741746,0.04000806524479235,7.1,8.0
10339,F1 Macro,0.9682539682539683,KNN,KNN+ROs,0.7549965956996906,0.03947170615172169,0.023810691874741746,0.04000806524479235,60.2,8.0
10340,F1 Macro,1.0,DBC,DBC,0.7549965956996906,0.03947170615172169,0.023810691874741746,0.04000806524479235,,8.0
10341,F1 Macro,0.3707349417768071,Listwise Deletion,SVC,0.7549965956996906,0.03947170615172169,0.023810691874741746,0.04000806524479235,,8.0
10342,F1 Macro,0.3649508386350491,Listwise Deletion,RF,0.7549965956996906,0.03947170615172169,0.023810691874741746,0.04000806524479235,,8.0
10343,F1 Macro,0.317992673992674,Listwise Deletion,Ridge,0.7549965956996906,0.03947170615172169,0.023810691874741746,0.04000806524479235,,8.0
10344,F1 Macro,1.0,"ACF, correlation-only",ACF+SVC,0.7475562096715187,0.03788578729380777,0.018480021550872666,0.03735858720577073,,8.0
10345,F1 Macro,0.9841269841269842,"ACF, correlation-only",ACF+RF,0.7475562096715187,0.03788578729380777,0.018480021550872666,0.03735858720577073,,8.0
10346,F1 Macro,0.9841269841269842,"ACF, correlation-only",ACF+Ridge,0.7475562096715187,0.03788578729380777,0.018480021550872666,0.03735858720577073,,8.0
10347,F1 Macro,0.992137437590911,"ACF, with covariable",ACF+SVC,0.7475562096715187,0.03788578729380777,0.018480021550872666,0.03735858720577073,,8.0
10348,F1 Macro,0.9919862162920223,"ACF, with covariable",ACF+RF,0.7475562096715187,0.03788578729380777,0.018480021550872666,0.03735858720577073,,8.0
10349,F1 Macro,0.9841269841269842,"ACF, with covariable",ACF+Ridge,0.7475562096715187,0.03788578729380777,0.018480021550872666,0.03735858720577073,,8.0
10350,F1 Macro,0.8463385354141657,KNN,KNN,0.7475562096715187,0.03788578729380777,0.018480021550872666,0.03735858720577073,3.2,8.0
10351,F1 Macro,0.9263894000736106,KNN,KNN+ROs,0.7475562096715187,0.03788578729380777,0.018480021550872666,0.03735858720577073,53.0,8.0
