,Metric,Value,Method,Algorithm,mv,sigma,diff_mu_12_mu_11,diff_mu_13_mu_23,Neighbors,a_size,b_size,c_size,Repetition
971,F1 Macro,0.33283149751740587,Listwise Deletion,Ridge,0.81,0.05076616801436949,0.012855185051559331,0.03582083530356504,,26.0,74.0,50.0,3.0
972,F1 Macro,0.9466666666666667,"ACF, correlation-only",ACF+SVC,0.81,0.05076616801436949,0.012855185051559331,0.03582083530356504,,26.0,74.0,50.0,3.0
973,F1 Macro,0.9505064178913917,"ACF, correlation-only",ACF+RF,0.81,0.05076616801436949,0.012855185051559331,0.03582083530356504,,26.0,74.0,50.0,3.0
974,F1 Macro,0.9385884107558011,"ACF, correlation-only",ACF+Ridge,0.81,0.05076616801436949,0.012855185051559331,0.03582083530356504,,26.0,74.0,50.0,3.0
975,F1 Macro,0.9912269158222573,"ACF, with covariable",ACF+SVC,0.81,0.05076616801436949,0.012855185051559331,0.03582083530356504,,26.0,74.0,50.0,3.0
976,F1 Macro,0.9822222222222222,"ACF, with covariable",ACF+RF,0.81,0.05076616801436949,0.012855185051559331,0.03582083530356504,,26.0,74.0,50.0,3.0
977,F1 Macro,0.948024948024948,"ACF, with covariable",ACF+Ridge,0.81,0.05076616801436949,0.012855185051559331,0.03582083530356504,,26.0,74.0,50.0,3.0
978,F1 Macro,0.7205366357069144,KNN,KNN,0.81,0.05076616801436949,0.012855185051559331,0.03582083530356504,5.3,26.0,74.0,50.0,3.0
979,F1 Macro,0.8816167765939454,KNN,KNN+ROs,0.81,0.05076616801436949,0.012855185051559331,0.03582083530356504,58.0,26.0,74.0,50.0,3.0
980,F1 Macro,0.9427473111683637,DBC,DBC,0.81,0.05076616801436949,0.012855185051559331,0.03582083530356504,,26.0,74.0,50.0,3.0
981,F1 Macro,0.2993687503491425,Listwise Deletion,SVC,0.81,0.05130571972697941,0.019534348166093396,0.041523937820424975,,30.0,70.0,50.0,3.0
982,F1 Macro,0.3055895389884568,Listwise Deletion,RF,0.81,0.05130571972697941,0.019534348166093396,0.041523937820424975,,30.0,70.0,50.0,3.0
983,F1 Macro,0.27765767815830394,Listwise Deletion,Ridge,0.81,0.05130571972697941,0.019534348166093396,0.041523937820424975,,30.0,70.0,50.0,3.0
984,F1 Macro,1.0,"ACF, correlation-only",ACF+SVC,0.81,0.05130571972697941,0.019534348166093396,0.041523937820424975,,30.0,70.0,50.0,3.0
985,F1 Macro,1.0,"ACF, correlation-only",ACF+RF,0.81,0.05130571972697941,0.019534348166093396,0.041523937820424975,,30.0,70.0,50.0,3.0
986,F1 Macro,0.9535043416622364,"ACF, correlation-only",ACF+Ridge,0.81,0.05130571972697941,0.019534348166093396,0.041523937820424975,,30.0,70.0,50.0,3.0
987,F1 Macro,0.992137437590911,"ACF, with covariable",ACF+SVC,0.81,0.05130571972697941,0.019534348166093396,0.041523937820424975,,30.0,70.0,50.0,3.0
988,F1 Macro,0.9919862162920223,"ACF, with covariable",ACF+RF,0.81,0.05130571972697941,0.019534348166093396,0.041523937820424975,,30.0,70.0,50.0,3.0
989,F1 Macro,0.9702941727291216,"ACF, with covariable",ACF+Ridge,0.81,0.05130571972697941,0.019534348166093396,0.041523937820424975,,30.0,70.0,50.0,3.0
990,F1 Macro,0.7851177026514881,KNN,KNN,0.81,0.05130571972697941,0.019534348166093396,0.041523937820424975,10.8,30.0,70.0,50.0,3.0
991,F1 Macro,0.9189502954466459,KNN,KNN+ROs,0.81,0.05130571972697941,0.019534348166093396,0.041523937820424975,72.2,30.0,70.0,50.0,3.0
