,Metric,Value,Method,Algorithm,mv,sigma,diff_mu_12_mu_11,diff_mu_13_mu_23,Neighbors,size
845,F1 Macro,0.9260918253079508,DBC,DBC,0.81,0.05189959827958058,0.022025043046858123,0.03299525702196493,19.7,50.0
846,F1 Macro,0.9441269841269841,ACF,ACF+SVC,0.81,0.05023745702563722,0.0283941991580563,0.034363102972582035,,68.0
847,F1 Macro,0.9441269841269841,ACF,ACF+RF,0.81,0.05023745702563722,0.0283941991580563,0.034363102972582035,,68.0
848,F1 Macro,0.9618055555555555,ACF,ACF+Ridge,0.81,0.05023745702563722,0.0283941991580563,0.034363102972582035,,68.0
849,F1 Macro,0.7326705330019331,KNN,KNN,0.81,0.05023745702563722,0.0283941991580563,0.034363102972582035,7.3,68.0
850,F1 Macro,0.8587586006571901,KNN,KNN+ROs,0.81,0.05023745702563722,0.0283941991580563,0.034363102972582035,40.8,68.0
851,F1 Macro,0.9142801480615624,DBC,DBC,0.81,0.05023745702563722,0.0283941991580563,0.034363102972582035,40.8,68.0
852,F1 Macro,0.9289188178077067,ACF,ACF+SVC,0.81,0.051278376302442585,0.020415528205181416,0.034939542405259566,,86.0
853,F1 Macro,0.913109756097561,ACF,ACF+RF,0.81,0.051278376302442585,0.020415528205181416,0.034939542405259566,,86.0
854,F1 Macro,0.8648575280319865,ACF,ACF+Ridge,0.81,0.051278376302442585,0.020415528205181416,0.034939542405259566,,86.0
855,F1 Macro,0.7319154628143393,KNN,KNN,0.81,0.051278376302442585,0.020415528205181416,0.034939542405259566,5.5,86.0
856,F1 Macro,0.8646723646723647,KNN,KNN+ROs,0.81,0.051278376302442585,0.020415528205181416,0.034939542405259566,42.6,86.0
857,F1 Macro,0.8972972972972973,DBC,DBC,0.81,0.051278376302442585,0.020415528205181416,0.034939542405259566,42.6,86.0
858,F1 Macro,0.9779040404040403,ACF,ACF+SVC,0.81,0.0504062584832669,0.019466254262680227,0.03899214994031236,,105.0
859,F1 Macro,0.9672514619883041,ACF,ACF+RF,0.81,0.0504062584832669,0.019466254262680227,0.03899214994031236,,105.0
860,F1 Macro,0.9411853422882054,ACF,ACF+Ridge,0.81,0.0504062584832669,0.019466254262680227,0.03899214994031236,,105.0
861,F1 Macro,0.8988727858293076,KNN,KNN,0.81,0.0504062584832669,0.019466254262680227,0.03899214994031236,4.3,105.0
862,F1 Macro,0.8769279948853193,KNN,KNN+ROs,0.81,0.0504062584832669,0.019466254262680227,0.03899214994031236,35.6,105.0
863,F1 Macro,0.9655087459965509,DBC,DBC,0.81,0.0504062584832669,0.019466254262680227,0.03899214994031236,35.6,105.0
864,F1 Macro,0.9317319848293301,ACF,ACF+SVC,0.81,0.05126527028613987,0.01601569881309417,0.03455528425225039,,123.0
865,F1 Macro,0.9595202398800599,ACF,ACF+RF,0.81,0.05126527028613987,0.01601569881309417,0.03455528425225039,,123.0
866,F1 Macro,0.9375963020030816,ACF,ACF+Ridge,0.81,0.05126527028613987,0.01601569881309417,0.03455528425225039,,123.0
867,F1 Macro,0.8520859393859591,KNN,KNN,0.81,0.05126527028613987,0.01601569881309417,0.03455528425225039,7.4,123.0
868,F1 Macro,0.8901882894613943,KNN,KNN+ROs,0.81,0.05126527028613987,0.01601569881309417,0.03455528425225039,43.5,123.0
869,F1 Macro,0.9614285714285714,DBC,DBC,0.81,0.05126527028613987,0.01601569881309417,0.03455528425225039,43.5,123.0
870,F1 Macro,1.0,ACF,ACF+SVC,0.81,0.0508419357099965,0.018351544452707952,0.04290331805602622,,142.0
871,F1 Macro,1.0,ACF,ACF+RF,0.81,0.0508419357099965,0.018351544452707952,0.04290331805602622,,142.0
872,F1 Macro,0.9726481791637641,ACF,ACF+Ridge,0.81,0.0508419357099965,0.018351544452707952,0.04290331805602622,,142.0
873,F1 Macro,0.8767244538235649,KNN,KNN,0.81,0.0508419357099965,0.018351544452707952,0.04290331805602622,6.5,142.0
874,F1 Macro,0.8941275192431988,KNN,KNN+ROs,0.81,0.0508419357099965,0.018351544452707952,0.04290331805602622,62.9,142.0
875,F1 Macro,0.9560871876661351,DBC,DBC,0.81,0.0508419357099965,0.018351544452707952,0.04290331805602622,62.9,142.0
876,F1 Macro,1.0,ACF,ACF+SVC,0.81,0.05125927098913137,0.013478870869292392,0.03935646346466823,,160.0
877,F1 Macro,0.9926042211756498,ACF,ACF+RF,0.81,0.05125927098913137,0.013478870869292392,0.03935646346466823,,160.0
878,F1 Macro,0.9774155747310109,ACF,ACF+Ridge,0.81,0.05125927098913137,0.013478870869292392,0.03935646346466823,,160.0
879,F1 Macro,0.7999056335687132,KNN,KNN,0.81,0.05125927098913137,0.013478870869292392,0.03935646346466823,8.8,160.0
880,F1 Macro,0.8848227487467994,KNN,KNN+ROs,0.81,0.05125927098913137,0.013478870869292392,0.03935646346466823,76.9,160.0
881,F1 Macro,0.9289067739771966,DBC,DBC,0.81,0.05125927098913137,0.013478870869292392,0.03935646346466823,76.9,160.0
882,F1 Macro,0.9864601262191623,ACF,ACF+SVC,0.81,0.05112249497990922,0.023586252861489104,0.03558499268226553,,178.0
883,F1 Macro,0.9724556489262373,ACF,ACF+RF,0.81,0.05112249497990922,0.023586252861489104,0.03558499268226553,,178.0
884,F1 Macro,0.9798548868971405,ACF,ACF+Ridge,0.81,0.05112249497990922,0.023586252861489104,0.03558499268226553,,178.0
885,F1 Macro,0.6677356357282352,KNN,KNN,0.81,0.05112249497990922,0.023586252861489104,0.03558499268226553,11.6,178.0
